"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"3509","B41","Sicilian: Kan, 5.c4 Qc7","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Qc7","5.  ... Qc7","d8","c7","","rnb1kbnr/1pqp1ppp/p3p3/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq - 1 6"
"3510","B41","Sicilian: Kan, 5.c4 Nf6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6","5.  ... Nf6","g8","f6","","rnbqkb1r/1p1p1ppp/p3pn2/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq - 1 6"
"3511","B41","Sicilian: Kan, 5.c4 Nf6 6.Nc3","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6 6. Nc3","6. Nc3 ... ","b1","c3","","rnbqkb1r/1p1p1ppp/p3pn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq - 2 6"
"3512","B41","Sicilian: Kan, 5.c4 Nf6 6.Nc3 d6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6 6. Nc3 d6","6.  ... d6","d7","d6","","rnbqkb1r/1p3ppp/p2ppn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7"
"3513","B41","Sicilian: Kan, 5.c4 Nf6 6.Nc3 Bb4","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6 6. Nc3 Bb4","6.  ... Bb4","f8","b4","","rnbqk2r/1p1p1ppp/p3pn2/8/1bPNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 3 7"
"3514","B41","Sicilian: Kan, 5.c4 Nf6, Bronstein Variation","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6 6. Nc3 Bb4 7. Bd3 Nc6 8. Bc2","8. Bc2 ... ","d3","c2","","r1bqk2r/1p1p1ppp/p1n1pn2/8/1bPNP3/2N5/PPB2PPP/R1BQK2R b KQkq - 6 8"
"3515","B41","Sicilian: Kan, 5.c4 Nf6 6.Nc3 Qc7","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6 6. Nc3 Qc7","6.  ... Qc7","d8","c7","","rnb1kb1r/1pqp1ppp/p3pn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 3 7"
"3516","B41","Sicilian: Kan, 5.c4 Nf6 6.Nc3 Qc7 7.Be2","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Nf6 6. Nc3 Qc7 7. Be2","7. Be2 ... ","f1","e2","","rnb1kb1r/1pqp1ppp/p3pn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQkq - 4 7"
"3517","B42","Sicilian: Kan, 5.Bd3","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3","5. Bd3 ... ","f1","d3","","rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 1 5"
"3518","B42","Sicilian: Kan, Swiss Cheese Variation, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 g6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 g6","5.  ... g6","g7","g6","","rnbqkbnr/1p1p1p1p/p3p1p1/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 6"
"3519","B42","Sicilian: Kan, 5.Bd3 Qb6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Qb6","5.  ... Qb6","d8","b6","","rnb1kbnr/1p1p1ppp/pq2p3/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 2 6"
"3520","B42","Sicilian: Kan, 5.Bd3 Qc7","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Qc7","5.  ... Qc7","d8","c7","","rnb1kbnr/1pqp1ppp/p3p3/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 2 6"
"3521","B42","Sicilian: Kan, 5.Bd3 Nc6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nc6","5.  ... Nc6","b8","c6","","r1bqkbnr/1p1p1ppp/p1n1p3/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 2 6"
"3522","B42","Sicilian: Kan, Polugaevsky Variation, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 Bc5","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Bc5","5.  ... Bc5","f8","c5","","rnbqk1nr/1p1p1ppp/p3p3/2b5/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 2 6"
"3523","B42","Sicilian: Kan, Polugaevsky, 6.Nb3 Ba7","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Bc5 6. Nb3 Ba7","6.  ... Ba7","c5","a7","","rnbqk1nr/bp1p1ppp/p3p3/8/4P3/1N1B4/PPP2PPP/RNBQK2R w KQkq - 4 7"
"3524","B42","Sicilian: Kan, 5.Bd3 Nf6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nf6","5.  ... Nf6","g8","f6","","rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 2 6"
"3525","B42","Sicilian: Kan, 5.Bd3 Nf6 6.c4","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nf6 6. c4","6. c4 ... ","c2","c4","","rnbqkb1r/1p1p1ppp/p3pn2/8/2PNP3/3B4/PP3PPP/RNBQK2R b KQkq - 0 6"
