"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"1141","C45","Scotch: Gottschall Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3 9. Qxe3 O-O 10. Nxc7 Rb8 11. Nxd5 Nxd5 12. exd5 Nb4","12.  ... Nb4","c6","b4","","1rb2rk1/pp3ppp/5q2/3P4/1n6/2P1Q3/PP3PPP/RN2KB1R w KQ - 1 13"
"1142","C45","Scotch: Paulsen attack","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Bb5","7. Bb5 ... ","f1","b5","","r1b1k2r/ppppnppp/2n2q2/1Bb5/3NP3/2P1B3/PP3PPP/RN1QK2R b KQkq - 2 7"
"1143","C45","Scotch: Paulsen, Gunsberg defense","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Bb5 Nd8","7.  ... Nd8","c6","d8","","r1bnk2r/ppppnppp/5q2/1Bb5/3NP3/2P1B3/PP3PPP/RN1QK2R w KQkq - 3 8"
"1144","C45","Scotch: Meitner Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Nc2","7. Nc2 ... ","d4","c2","","r1b1k2r/ppppnppp/2n2q2/2b5/4P3/2P1B3/PPN2PPP/RN1QKB1R b KQkq - 2 7"
"1145","C45","Scotch: Blumenfeld attack","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. Nb5","6. Nb5 ... ","d4","b5","","r1b1k1nr/pppp1ppp/2n2q2/1Nb5/4P3/4B3/PPP2PPP/RN1QKB1R b KQkq - 4 6"
"1146","C45","Scotch: Potter Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nb3","5. Nb3 ... ","d4","b3","","r1bqk1nr/pppp1ppp/2n5/2b5/4P3/1N6/PPP2PPP/RNBQKB1R b KQkq - 2 5"
"1147","C45","Scotch: Romanishin Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nb3 Bb4+","5.  ... Bb4+","c5","b4","e1","r1bqk1nr/pppp1ppp/2n5/8/1b2P3/1N6/PPP2PPP/RNBQKB1R w KQkq - 3 6"
"1148","C46","Three knights game","1. e4 e5 2. Nf3 Nc6 3. Nc3","3. Nc3 ... ","b1","c3","","r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3"
"1149","C46","Three knights: Schlechter Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Bb4 4. Nd5 Nf6","4.  ... Nf6","g8","f6","","r1bqk2r/pppp1ppp/2n2n2/3Np3/1b2P3/5N2/PPPP1PPP/R1BQKB1R w KQkq - 6 5"
"1150","C46","Three knights: Winawer defense (Gothic defense)","1. e4 e5 2. Nf3 Nc6 3. Nc3 f5","3.  ... f5","f7","f5","","r1bqkbnr/pppp2pp/2n5/4pp2/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4"
"1151","C46","Three knights: Steinitz Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 g6","3.  ... g6","g7","g6","","r1bqkbnr/pppp1p1p/2n3p1/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4"
"1152","C46","Three knights: Steinitz, Rosenthal Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 g6 4. d4 exd4 5. Nd5","5. Nd5 ... ","c3","d5","","r1bqkbnr/pppp1p1p/2n3p1/3N4/3pP3/5N2/PPP2PPP/R1BQKB1R b KQkq - 1 5"
